"Basis_Set","Functional","Nucleus","Energy","SIE_estimate"
"def2-QZVPP","wB97M-V","C",-17.996230357,0.00374731419999819
"def2-QZVPP","wB97M-V","N",-24.5003218781,-0.000351885099998839
"def2-QZVPP","wB97M-V","O",-32.0047215203,-0.00476054000000303
"def2-QZVPP","wB97M-V","F",-40.5093283565,-0.00938299330000092
"def2-QZVPP","wB97M-V","Ne",-50.0140896771,-0.0141595713000058
"def2-QZVPP","wB97M-V","Na",-60.5190163047,-0.0190504329000021
"def2-QZVPP","wB97M-V","Mg",-72.024000492,-0.0240280718000037
"def2-QZVPP","wB97M-V","Al",-84.5290445543,-0.0290738715000032
"def2-QZVPP","wB97M-V","Si",-98.0341409472,-0.0341732710000002
"def2-QZVPP","wB97M-V","P",-112.5392785861,-0.0393158841999934
"def2-QZVPP","wB97M-V","S",-128.044451457,-0.0444938752000041
"def2-QZVPP","wB97M-V","Cl",-144.5496510324,-0.0497011438999948
"def2-QZVPP","wB97M-V","Ar",-162.0548782054,-0.0549329353999894
"def2-QZVPP","wB97M-V","K",-180.5600768502,-0.0601710148999928
"def2-QZVPP","wB97M-V","Ca",-200.0653719821,-0.0654547652000019
"def2-QZVPP","wB97M-V","Sc",-220.5706242209,-0.0707380992999731
"def2-QZVPP","wB97M-V","Ti",-242.075941339,-0.0760369488000094
"def2-QZVPP","wB97M-V","V",-264.581236352,-0.0813465144000247
"def2-QZVPP","wB97M-V","Cr",-288.0865429214,-0.0866661253999723
"def2-QZVPP","wB97M-V","Mn",-312.5918679771,-0.0919917928999894
"def2-QZVPP","wB97M-V","Fe",-338.0971873031,-0.0973296954999796
"def2-QZVPP","wB97M-V","Co",-364.6025199879,-0.102672253600019
"def2-QZVPP","wB97M-V","Ni",-392.1078503956,-0.108020732400007
"def2-QZVPP","wB97M-V","Cu",-420.6131876622,-0.113377179200029
"def2-QZVPP","wB97M-V","Zn",-450.118541609,-0.118734010499963
"def2-QZVPP","wB97M-V","Ga",-480.6239248352,-0.124104178700009
"def2-QZVPP","wB97M-V","Ge",-512.129286615,-0.129475412399984
"def2-QZVPP","wB97M-V","As",-544.6346366973,-0.134847111499994
"def2-QZVPP","wB97M-V","Se",-578.139858995,-0.140205060800099
"def2-QZVPP","wB97M-V","Br",-612.6453080516,-0.145597277599904
"def2-QZVPP","wB97M-V","Kr",-648.1505933728,-0.150961882300066
"def2-QZVPP","HF","H",-0.4999832978,0
"def2-QZVPP","HF","He",-1.9999473088,0
"def2-QZVPP","HF","Li",-4.4999924886,0
"def2-QZVPP","HF","Be",-7.9999886837,0
"def2-QZVPP","HF","B",-12.4999839041,0
"def2-QZVPP","HF","C",-17.9999776712,0
"def2-QZVPP","HF","N",-24.499969993,0
"def2-QZVPP","HF","O",-31.9999609803,0
"def2-QZVPP","HF","F",-40.4999453632,0
"def2-QZVPP","HF","Ne",-49.9999301058,0
"def2-QZVPP","HF","Na",-60.4999658718,0
"def2-QZVPP","HF","Mg",-71.9999724202,0
"def2-QZVPP","HF","Al",-84.4999706828,0
"def2-QZVPP","HF","Si",-97.9999676762,0
"def2-QZVPP","HF","P",-112.4999627019,0
"def2-QZVPP","HF","S",-127.9999575818,0
"def2-QZVPP","HF","Cl",-144.4999498885,0
"def2-QZVPP","HF","Ar",-161.99994527,0
"def2-QZVPP","HF","K",-180.4999058353,0
"def2-QZVPP","HF","Ca",-199.9999172169,0
"def2-QZVPP","HF","Sc",-220.4998861216,0
"def2-QZVPP","HF","Ti",-241.9999043902,0
"def2-QZVPP","HF","V",-264.4998898376,0
"def2-QZVPP","HF","Cr",-287.999876796,0
"def2-QZVPP","HF","Mn",-312.4998761842,0
"def2-QZVPP","HF","Fe",-337.9998576076,0
"def2-QZVPP","HF","Co",-364.4998477343,0
"def2-QZVPP","HF","Ni",-391.9998296632,0
"def2-QZVPP","HF","Cu",-420.499810483,0
"def2-QZVPP","HF","Zn",-449.9998075985,0
"def2-QZVPP","HF","Ga",-480.4998206565,0
"def2-QZVPP","HF","Ge",-511.9998112026,0
"def2-QZVPP","HF","As",-544.4997895858,0
"def2-QZVPP","HF","Se",-577.9996539342,0
"def2-QZVPP","HF","Br",-612.499710774,0
"def2-QZVPP","HF","Kr",-647.9996314905,0
