Distance HF_Energy DFA_Energy Coefficient Exponent
3.08 -0.5126470770 -0.5720766857 40.9743221 84.31403
3.10 -0.5122759899 -0.5721099502 41.0606918 83.94030
3.12 -0.5119149626 -0.5721476558 41.1386894 83.56657
3.14 -0.5115637849 -0.5721896312 41.2087304 83.19284
3.16 -0.5112222462 -0.5722357097 41.2707983 82.81910
3.18 -0.5108901360 -0.5722857285 41.3250162 82.44537
3.20 -0.5105672439 -0.5723395286 41.3714210 82.07164
3.22 -0.5102533604 -0.5723969551 41.4102454 81.69791
3.24 -0.5099482769 -0.5724578568 41.4415427 81.32418
3.26 -0.5096517863 -0.5725220858 41.4652950 80.95045
3.28 -0.5093636830 -0.5725894977 41.4818972 80.57672
3.30 -0.5090837638 -0.5726599513 41.4910495 80.20299
3.32 -0.5088118272 -0.5727333091 41.4932893 79.82925
3.34 -0.5085476745 -0.5728094374 41.4884784 79.45552
3.36 -0.5082911096 -0.5728882067 41.4768281 79.08179
3.38 -0.5080419391 -0.5729694913 41.4584395 78.70806
3.40 -0.5077999727 -0.5730531699 41.4334720 78.33433
3.42 -0.5075650231 -0.5731391252 41.4019560 77.96060
3.44 -0.5073369064 -0.5732272439 41.3640514 77.58687
3.46 -0.5071154420 -0.5733174164 41.3199428 77.21313
3.48 -0.5069004527 -0.5734095366 41.2696099 76.83940
3.50 -0.5066917646 -0.5735035017 41.2133697 76.46567
3.52 -0.5064892076 -0.5735992118 41.1510610 76.09194
3.54 -0.5062926149 -0.5736965695 41.0829966 75.71821
3.56 -0.5061018234 -0.5737954803 41.0093223 75.34448
3.58 -0.5059166737 -0.5738958522 40.9301187 74.97075
3.60 -0.5057370097 -0.5739975963 40.8453235 74.59701
3.62 -0.5055626790 -0.5741006267 40.7551980 74.22328
3.64 -0.5053935328 -0.5742048612 40.6598677 73.84955
3.66 -0.5052294258 -0.5743102208 40.5594214 73.47582
3.68 -0.5050702161 -0.5744166299 40.4538939 73.10209
3.70 -0.5049157653 -0.5745240163 40.3436221 72.72836
3.72 -0.5047659385 -0.5746323107 40.2283926 72.35463
3.74 -0.5046206041 -0.5747414467 40.1085577 71.98090
3.76 -0.5044796337 -0.5748513604 39.9840442 71.60716
3.78 -0.5043429025 -0.5749619902 39.8551573 71.23343
3.80 -0.5042102884 -0.5750732765 39.7218703 70.85970
3.82 -0.5040816729 -0.5751851614 39.5841531 70.48597
3.84 -0.5039569404 -0.5752975884 39.4423442 70.11224
3.86 -0.5038359784 -0.5754105026 39.2965140 69.73851
3.88 -0.5037186774 -0.5755238508 39.1464621 69.36478
3.90 -0.5036049306 -0.5756375816 38.9926804 68.99104
3.92 -0.5034946342 -0.5757516465 38.8350045 68.61731
3.94 -0.5033876874 -0.5758659990 38.6735785 68.24358
3.96 -0.5032839918 -0.5759805953 38.5085247 67.86985
3.98 -0.5031834519 -0.5760953938 38.3400163 67.49612
4.00 -0.5030859747 -0.5762103554 38.1678764 67.12239
4.02 -0.5029914696 -0.5763254429 37.9924613 66.74866
4.04 -0.5028998489 -0.5764406208 37.8137381 66.37493
4.06 -0.5028110271 -0.5765558556 37.6319638 66.00119
4.08 -0.5027249209 -0.5766711148 37.4468476 65.62746
4.10 -0.5026414496 -0.5767863674 37.2588469 65.25373
4.12 -0.5025605346 -0.5769015832 37.0677782 64.88000
4.14 -0.5024820996 -0.5770167326 36.8739256 64.50627
4.16 -0.5024060704 -0.5771317868 36.6771833 64.13254
4.18 -0.5023323749 -0.5772467173 36.4776696 63.75881
4.20 -0.5022609431 -0.5773614965 36.2755853 63.38507
4.22 -0.5021917070 -0.5774760983 36.0709346 63.01134
4.24 -0.5021246003 -0.5775904981 35.8636901 62.63761
4.26 -0.5020595590 -0.5777046731 35.6539994 62.26388
4.28 -0.5019965205 -0.5778186020 35.4419868 61.89015
4.30 -0.5019354244 -0.5779322650 35.2276469 61.51642
4.32 -0.5018762119 -0.5780456437 35.0110762 61.14269
4.34 -0.5018188257 -0.5781587212 34.7922319 60.76896
4.36 -0.5017632105 -0.5782714814 34.5714523 60.39522
4.38 -0.5017093124 -0.5783839092 34.3485749 60.02149
4.40 -0.5016570791 -0.5784959905 34.1239477 59.64776
4.42 -0.5016064599 -0.5786077116 33.8969726 59.27403
4.44 -0.5015574055 -0.5787190597 33.6683781 58.90030
4.46 -0.5015098682 -0.5788300220 33.4379918 58.52657
4.48 -0.5014638014 -0.5789405861 33.2058185 58.15284
4.50 -0.5014191603 -0.5790507397 32.9719898 57.77910
4.52 -0.5013759011 -0.5791604702 32.7366074 57.40537
4.54 -0.5013339813 -0.5792697657 32.4998841 57.03164
4.56 -0.5012933600 -0.5793786147 32.2613903 56.65791
4.58 -0.5012539971 -0.5794870069 32.0213709 56.28418
4.60 -0.5012158540 -0.5795949329 31.7800949 55.91045
4.62 -0.5011788931 -0.5797023845 31.5373542 55.53672
4.64 -0.5011430780 -0.5798093543 31.2935282 55.16299
4.66 -0.5011083733 -0.5799158358 31.0483392 54.78925
4.68 -0.5010747448 -0.5800218231 30.8019882 54.41552
4.70 -0.5010421592 -0.5801273109 30.5546993 54.04179
4.72 -0.5010105844 -0.5802322947 30.3061702 53.66806
4.74 -0.5009799889 -0.5803367699 30.0564456 53.29433
4.76 -0.5009503427 -0.5804407329 29.8059890 52.92060
4.78 -0.5009216162 -0.5805441800 29.5545300 52.54687
4.80 -0.5008937810 -0.5806471077 29.3023168 52.17313
4.82 -0.5008668094 -0.5807495131 29.0488716 51.79940
4.84 -0.5008406747 -0.5808513929 28.7950898 51.42567
4.86 -0.5008153508 -0.5809527440 28.5401897 51.05194
4.88 -0.5007908126 -0.5810535633 28.2847113 50.67821
4.90 -0.5007670357 -0.5811538472 28.0286171 50.30448
4.92 -0.5007439965 -0.5812535925 27.7720411 49.93075
4.94 -0.5007216720 -0.5813527963 27.5145860 49.55701
4.96 -0.5007000399 -0.5814514564 27.2567096 49.18328
4.98 -0.5006790788 -0.5815495713 26.9983601 48.80955
5.00 -0.5006587677 -0.5816471399 26.7394565 48.43582
5.02 -0.5006390864 -0.5817441616 26.4804809 48.06209
5.04 -0.5006200152 -0.5818406362 26.2207040 47.68836
5.06 -0.5006015353 -0.5819365639 25.9608395 47.31463
5.08 -0.5005836280 -0.5820319450 25.7007051 46.94090
5.10 -0.5005662756 -0.5821267801 25.4400937 46.56716
5.12 -0.5005494608 -0.5822210700 25.1794269 46.19343
5.14 -0.5005331668 -0.5823148158 24.9183786 45.81970
5.16 -0.5005173772 -0.5824080183 24.6573890 45.44597
5.18 -0.5005020765 -0.5825006788 24.3962142 45.07224
5.20 -0.5004872492 -0.5825927986 24.1349295 44.69851
5.22 -0.5004728828 -0.5826843811 23.8737008 44.32478
5.24 -0.5004589586 -0.5827754234 23.6123203 43.95104
5.26 -0.5004454649 -0.5828659289 23.3510187 43.57731
5.28 -0.5004323881 -0.5829558990 23.0898077 43.20358
5.30 -0.5004197153 -0.5830453345 22.8287592 42.82985
5.32 -0.5004074338 -0.5831342363 22.5676911 42.45612
5.34 -0.5003955313 -0.5832226056 22.3068525 42.08239
5.36 -0.5003839960 -0.5833104437 22.0461757 41.70866
5.38 -0.5003728164 -0.5833977523 21.7858095 41.33493
5.40 -0.5003619813 -0.5834845333 21.5253897 40.96119
5.42 -0.5003514799 -0.5835707889 21.2654602 40.58746
5.44 -0.5003413018 -0.5836565215 21.0059100 40.21373
5.46 -0.5003314367 -0.5837417336 20.7466433 39.84000
5.48 -0.5003218749 -0.5838264277 20.4877995 39.46627
5.50 -0.5003126069 -0.5839106067 20.2292405 39.09254
5.52 -0.5003036234 -0.5839942731 19.9710577 38.71881
5.54 -0.5002949155 -0.5840774298 19.7134953 38.34507
5.56 -0.5002864746 -0.5841600797 19.4563574 37.97134
5.58 -0.5002782921 -0.5842422257 19.1996518 37.59761
5.60 -0.5002703600 -0.5843238706 18.9436411 37.22388
5.62 -0.5002626705 -0.5844050173 18.6881462 36.85015
5.64 -0.5002552159 -0.5844856687 18.4331895 36.47642
5.66 -0.5002479887 -0.5845658279 18.1788911 36.10269
5.68 -0.5002409819 -0.5846454977 17.9252602 35.72896
5.70 -0.5002341884 -0.5847246811 17.6722106 35.35522
5.72 -0.5002276017 -0.5848033808 17.4199453 34.98149
5.74 -0.5002212150 -0.5848815996 17.1682903 34.60776
5.76 -0.5002150222 -0.5849593400 16.9175181 34.23403
5.78 -0.5002090171 -0.5850366046 16.6675127 33.86030
5.80 -0.5002031938 -0.5851133960 16.4183141 33.48657
5.82 -0.5001975466 -0.5851897171 16.1698491 33.11284
5.84 -0.5001920698 -0.5852655708 15.9221557 32.73910
5.86 -0.5001867582 -0.5853409601 15.6755357 32.36537
5.88 -0.5001816065 -0.5854158880 15.4298691 31.99164
5.90 -0.5001766096 -0.5854903577 15.1849827 31.61791
5.92 -0.5001717627 -0.5855643723 14.9406934 31.24418
5.94 -0.5001670610 -0.5856379351 14.6979356 30.87045
5.96 -0.5001625000 -0.5857110492 14.4558720 30.49672
5.98 -0.5001580751 -0.5857837178 14.2146835 30.12299
6.00 -0.5001537821 -0.5858559441 13.9748614 29.74925
6.02 -0.5001496168 -0.5859277313 13.7360423 29.37552
6.04 -0.5001455752 -0.5859990826 13.4981309 29.00179
6.06 -0.5001416534 -0.5860700012 13.2613513 28.62806
6.08 -0.5001378475 -0.5861404903 13.0257286 28.25433
6.10 -0.5001341540 -0.5862105530 12.7912642 27.88060
6.12 -0.5001305692 -0.5862801925 12.5579345 27.50687
6.14 -0.5001270897 -0.5863494119 12.3257469 27.13313
6.16 -0.5001237123 -0.5864182143 12.0948006 26.75940
6.18 -0.5001204336 -0.5864866028 11.8651536 26.38567
6.20 -0.5001172505 -0.5865545804 11.6366964 26.01194
6.22 -0.5001141601 -0.5866221501 11.4091869 25.63821
6.24 -0.5001111594 -0.5866893148 11.1833936 25.26448
6.26 -0.5001082456 -0.5867560771 10.9587222 24.89075
6.28 -0.5001054159 -0.5868224400 10.7354149 24.51702
6.30 -0.5001026677 -0.5868884062 10.5134148 24.14328
6.32 -0.5000999985 -0.5869539787 10.2928096 23.76955
6.34 -0.5000974056 -0.5870191603 10.0734551 23.39582
6.36 -0.5000948868 -0.5870839539 9.8555750 23.02209
6.38 -0.5000924397 -0.5871483625 9.6392366 22.64836
